사용일자,분당선,합계
2020-04-13,8159,8159
2020-04-14,8461,8461
2020-04-15,5904,5904
2020-04-16,8632,8632
2020-04-17,7803,7803
2020-04-18,7275,7275
2020-04-19,3070,3070
2020-04-20,7711,7711
2020-04-21,8360,8360
2020-04-22,8130,8130
2020-04-23,8201,8201
2020-04-24,8827,8827
2020-04-25,7341,7341
2020-04-26,5471,5471
2020-04-27,8508,8508
2020-04-28,9101,9101
2020-04-29,9680,9680
2020-04-30,8044,8044
2020-05-01,6846,6846
2020-05-02,6860,6860
2020-05-03,5095,5095
2020-05-04,7946,7946
2020-05-05,6041,6041
2020-05-06,9503,9503
2020-05-07,9411,9411
2020-05-08,9133,9133
2020-05-09,4639,4639
2020-05-10,4640,4640
2020-05-11,8645,8645
2020-05-12,8906,8906
2020-05-13,9485,9485
2020-05-14,9206,9206
2020-05-15,8055,8055
2020-05-16,6289,6289
2020-05-17,4929,4929
2020-05-18,8144,8144
2020-05-19,8510,8510
2020-05-20,9506,9506
2020-05-21,9669,9669
2020-05-22,9461,9461
2020-05-23,8956,8956
2020-05-24,4805,4805
2020-05-25,9100,9100
2020-05-26,8986,8986
2020-05-27,9624,9624
2020-05-28,9285,9285
2020-05-29,9536,9536
2020-05-30,7818,7818
2020-05-31,4901,4901
2020-06-01,8787,8787
2020-06-02,8455,8455
2020-06-03,9071,9071
2020-06-04,9199,9199
2020-06-05,9577,9577
2020-06-06,6928,6928
2020-06-07,4776,4776
2020-06-08,8636,8636
2020-06-09,9045,9045
2020-06-10,9152,9152
2020-06-11,9153,9153
2020-06-12,9391,9391
2020-06-13,6412,6412
2020-06-14,4469,4469
2020-06-15,8604,8604
2020-06-16,9012,9012
2020-06-17,9409,9409
2020-06-18,9159,9159
2020-06-19,9350,9350
2020-06-20,7338,7338
2020-06-21,4567,4567
2020-06-22,8513,8513
2020-06-23,8973,8973
2020-06-24,8357,8357
2020-06-25,8914,8914
2020-06-26,9542,9542
2020-06-27,7307,7307
2020-06-28,5053,5053
2020-06-29,8657,8657
2020-06-30,8875,8875
2020-07-01,9687,9687
2020-07-02,9575,9575
2020-07-03,9922,9922
2020-07-04,7854,7854
2020-07-05,4960,4960
2020-07-06,9213,9213
2020-07-07,9627,9627
2020-07-08,9912,9912
2020-07-09,9783,9783
2020-07-10,9488,9488
2020-07-11,7752,7752
2020-07-12,4570,4570
2020-07-13,8106,8106
2020-07-14,9358,9358
2020-07-15,10153,10153
2020-07-16,9887,9887
2020-07-17,10044,10044
2020-07-18,7783,7783
2020-07-19,3320,3320
2020-07-20,8731,8731
2020-07-21,9788,9788
2020-07-22,9316,9316
2020-07-23,8953,8953
2020-07-24,9191,9191
2020-07-25,7048,7048
2020-07-26,4533,4533
2020-07-27,8805,8805
2020-07-28,9367,9367
2020-07-29,9029,9029
2020-07-30,9369,9369
2020-07-31,9589,9589
2020-08-01,4190,4190
2020-08-02,2818,2818
2020-08-03,7793,7793
2020-08-04,8572,8572
2020-08-05,8554,8554
2020-08-06,8960,8960
2020-08-07,9462,9462
2020-08-08,5476,5476
2020-08-09,3147,3147
2020-08-10,8631,8631
2020-08-11,8947,8947
2020-08-12,9681,9681
2020-08-13,9213,9213
2020-08-14,8948,8948
2020-08-15,4858,4858
2020-08-16,4264,4264
2020-08-17,4861,4861
2020-08-18,8427,8427
2020-08-19,8420,8420
2020-08-20,7965,7965
2020-08-21,7351,7351
2020-08-22,3475,3475
2020-08-23,2778,2778
2020-08-24,7502,7502
2020-08-25,7536,7536
2020-08-26,7421,7421
2020-08-27,6868,6868
2020-08-28,7374,7374
2020-08-29,3264,3264
2020-08-30,2249,2249
2020-08-31,7042,7042
2020-09-01,6604,6604
2020-09-02,6545,6545
2020-09-03,6836,6836
2020-09-04,7572,7572
2020-09-05,4753,4753
2020-09-06,2810,2810
2020-09-07,6531,6531
2020-09-08,7681,7681
2020-09-09,7222,7222
2020-09-10,7755,7755
2020-09-11,7765,7765
2020-09-12,4210,4210
2020-09-13,4475,4475
2020-09-14,7849,7849
2020-09-15,8189,8189
2020-09-16,7957,7957
2020-09-17,8342,8342
2020-09-18,8992,8992
2020-09-19,6882,6882
2020-09-20,4948,4948
2020-09-21,8223,8223
2020-09-22,8919,8919
2020-09-23,9087,9087
2020-09-24,8896,8896
2020-09-25,9323,9323
2020-09-26,7479,7479
2020-09-27,5528,5528
2020-09-28,8488,8488
2020-09-29,8401,8401
2020-09-30,3488,3488
2020-10-01,2245,2245
2020-10-02,3418,3418
2020-10-03,5170,5170
2020-10-04,4407,4407
2020-10-05,8419,8419
2020-10-06,8834,8834
2020-10-07,9180,9180
2020-10-08,9405,9405
2020-10-09,7721,7721
2020-10-10,7210,7210
2020-10-11,4971,4971
2020-10-12,8891,8891
2020-10-13,9150,9150
2020-10-14,9106,9106
2020-10-15,9104,9104
2020-10-16,9296,9296
2020-10-17,7908,7908
2020-10-18,5566,5566
2020-10-19,8901,8901
2020-10-20,9265,9265
2020-10-21,9167,9167
2020-10-22,9372,9372
2020-10-23,9518,9518
2020-10-24,7792,7792
2020-10-25,5869,5869
2020-10-26,8877,8877
2020-10-27,9180,9180
2020-10-28,9537,9537
2020-10-29,9566,9566
2020-10-30,10193,10193
2020-10-31,9135,9135
2020-11-01,4018,4018
2020-11-02,9182,9182
2020-11-03,9352,9352
2020-11-04,9441,9441
2020-11-05,9615,9615
2020-11-06,9582,9582
2020-11-07,8760,8760
2020-11-08,6483,6483
2020-11-09,8667,8667
2020-11-10,9445,9445
2020-11-11,9932,9932
2020-11-12,9690,9690
2020-11-13,10101,10101
2020-11-14,8678,8678
2020-11-15,5737,5737
2020-11-16,9299,9299
2020-11-17,9135,9135
2020-11-18,8796,8796
2020-11-19,8483,8483
2020-11-20,9130,9130
2020-11-21,6187,6187
2020-11-22,3778,3778
2020-11-23,8187,8187
2020-11-24,8212,8212
2020-11-25,8414,8414
2020-11-26,7922,7922
2020-11-27,7854,7854
2020-11-28,4167,4167
2020-11-29,2703,2703
2020-11-30,7201,7201
2020-12-01,7276,7276
2020-12-02,7400,7400
2020-12-03,7408,7408
