사용일자,6호선,합계
2021-07-07,8895,8895
2021-07-08,8149,8149
2021-07-09,8252,8252
2021-07-10,6126,6126
2021-07-11,5252,5252
2021-07-12,6078,6078
2021-07-13,7058,7058
2021-07-14,7382,7382
2021-07-15,6766,6766
2021-07-16,7313,7313
2021-07-17,5674,5674
2021-07-18,4394,4394
2021-07-19,5704,5704
2021-07-20,6959,6959
2021-07-21,7184,7184
2021-07-22,6693,6693
2021-07-23,7595,7595
2021-07-24,5486,5486
2021-07-25,4671,4671
2021-07-26,5772,5772
2021-07-27,6956,6956
2021-07-28,7514,7514
2021-07-29,7093,7093
2021-07-30,8061,8061
2021-07-31,5968,5968
2021-08-01,4966,4966
2021-08-02,5628,5628
2021-08-03,6128,6128
2021-08-04,6303,6303
2021-08-05,6465,6465
2021-08-06,6553,6553
2021-08-07,5667,5667
2021-08-08,4162,4162
2021-08-09,6199,6199
2021-08-10,6642,6642
2021-08-11,6856,6856
2021-08-12,6827,6827
2021-08-13,7048,7048
2021-08-14,5477,5477
2021-08-15,4695,4695
2021-08-16,4641,4641
2021-08-17,7641,7641
2021-08-18,8132,8132
2021-08-19,7555,7555
2021-08-20,8343,8343
2021-08-21,6088,6088
2021-08-22,5994,5994
2021-08-23,6118,6118
2021-08-24,7336,7336
2021-08-25,7791,7791
2021-08-26,7980,7980
2021-08-27,8006,8006
2021-08-28,7746,7746
2021-08-29,5678,5678
2021-08-30,6594,6594
2021-08-31,6964,6964
2021-09-01,7712,7712
2021-09-02,7462,7462
2021-09-03,9705,9705
2021-09-04,9727,9727
2021-09-05,6125,6125
2021-09-06,6589,6589
2021-09-07,6768,6768
2021-09-08,8199,8199
2021-09-09,7885,7885
2021-09-10,9219,9219
2021-09-11,9132,9132
2021-09-12,6741,6741
2021-09-13,6908,6908
2021-09-14,7936,7936
2021-09-15,8245,8245
2021-09-16,8008,8008
2021-09-17,9408,9408
2021-09-18,7475,7475
2021-09-19,5164,5164
2021-09-20,3211,3211
2021-09-21,2757,2757
2021-09-22,5499,5499
2021-09-23,7414,7414
2021-09-24,9110,9110
2021-09-25,9046,9046
2021-09-26,6001,6001
2021-09-27,6756,6756
2021-09-28,7783,7783
2021-09-29,7277,7277
2021-09-30,8286,8286
2021-10-01,8988,8988
2021-10-02,8469,8469
2021-10-03,7054,7054
2021-10-04,5054,5054
2021-10-05,7431,7431
2021-10-06,7947,7947
2021-10-07,8379,8379
2021-10-08,9345,9345
2021-10-09,10026,10026
2021-10-10,6447,6447
2021-10-11,6720,6720
2021-10-12,8389,8389
2021-10-13,8828,8828
2021-10-14,8273,8273
2021-10-15,9939,9939
2021-10-16,9329,9329
2021-10-17,6864,6864
2021-10-18,6896,6896
2021-10-19,7776,7776
2021-10-20,9507,9507
2021-10-21,8377,8377
2021-10-22,9887,9887
2021-10-23,10001,10001
